Periods,Interaction,Signals,Successful rate
1,2135.0,5831.0,69.387755
2,1483.0,4923.0,69.387755
3,1259.0,4587.0,69.387755
4,1143.0,4399.0,69.387755
5,1070.0,4286.0,69.387755
6,1027.0,4211.0,69.387755
7,991.0,4143.0,69.387755
8,959.0,4095.0,69.302721
9,946.0,4058.0,69.557823
10,928.0,4024.0,69.557823
11,919.0,4007.0,69.557823
12,908.0,3980.0,69.557823
13,889.0,3969.0,69.302721
14,890.0,3946.0,69.557823
15,878.0,3942.0,69.302721
16,871.0,3935.0,69.302721
17,862.0,3918.0,69.302721
18,860.0,3908.0,69.302721
19,853.0,3901.0,69.302721
20,851.0,3891.0,69.302721
21,849.0,3881.0,69.302721
22,845.0,3861.0,69.557823
23,840.0,3864.0,69.302721
24,843.0,3851.0,69.557823
25,833.0,3857.0,69.302721
26,834.0,3834.0,69.557823
27,834.0,3834.0,69.557823
28,827.0,3827.0,69.387755
29,820.0,3820.0,69.387755
30,820.0,3820.0,69.387755
31,820.0,3820.0,69.387755
32,818.0,3810.0,69.387755
33,823.0,3807.0,69.557823
34,816.0,3800.0,69.557823
35,814.0,3790.0,69.557823
36,809.0,3793.0,69.387755
37,809.0,3793.0,69.387755
38,814.0,3790.0,69.557823
39,809.0,3793.0,69.387755
40,812.0,3780.0,69.557823
41,807.0,3783.0,69.387755
42,812.0,3780.0,69.557823
43,805.0,3773.0,69.557823
44,800.0,3776.0,69.387755
45,798.0,3766.0,69.387755
46,803.0,3763.0,69.557823
47,800.0,3776.0,69.302721
48,798.0,3766.0,69.387755
49,803.0,3763.0,69.557823
50,798.0,3766.0,69.387755
51,796.0,3756.0,69.387755
52,801.0,3753.0,69.557823
53,796.0,3756.0,69.387755
54,796.0,3756.0,69.387755
55,801.0,3753.0,69.557823
56,798.0,3766.0,69.302721
57,791.0,3759.0,69.302721
58,794.0,3746.0,69.557823
59,791.0,3759.0,69.302721
60,787.0,3739.0,69.387755
61,782.0,3742.0,69.217687
62,786.0,3762.0,69.047619
63,778.0,3722.0,69.387755
64,786.0,3762.0,69.047619
65,787.0,3739.0,69.387755
66,782.0,3742.0,69.217687
67,787.0,3739.0,69.387755
68,782.0,3742.0,69.217687
69,787.0,3739.0,69.387755
70,780.0,3732.0,69.217687
71,775.0,3735.0,69.047619
72,780.0,3732.0,69.217687
73,784.0,3752.0,69.047619
74,780.0,3732.0,69.217687
75,775.0,3735.0,69.047619
76,780.0,3732.0,69.217687
77,780.0,3732.0,69.217687
78,784.0,3752.0,69.047619
79,780.0,3732.0,69.217687
80,784.0,3752.0,69.047619
81,780.0,3732.0,69.217687
82,784.0,3752.0,69.047619
83,778.0,3722.0,69.217687
84,783.0,3719.0,69.387755
85,771.0,3715.0,69.217687
86,776.0,3712.0,69.387755
87,771.0,3715.0,69.217687
88,776.0,3712.0,69.387755
89,776.0,3712.0,69.387755
90,771.0,3715.0,69.217687
91,776.0,3712.0,69.387755
92,771.0,3715.0,69.217687
93,776.0,3712.0,69.387755
94,771.0,3715.0,69.217687
95,776.0,3712.0,69.387755
96,771.0,3715.0,69.217687
97,776.0,3712.0,69.387755
98,775.0,3735.0,69.047619
99,776.0,3712.0,69.387755
100,775.0,3735.0,69.047619
101,776.0,3712.0,69.387755
102,774.0,3702.0,69.387755
103,773.0,3725.0,69.047619
104,774.0,3702.0,69.387755
105,773.0,3725.0,69.047619
106,774.0,3702.0,69.387755
107,765.0,3685.0,69.387755
108,774.0,3702.0,69.387755
109,774.0,3702.0,69.387755
110,765.0,3685.0,69.387755
111,774.0,3702.0,69.387755
112,765.0,3685.0,69.387755
113,774.0,3702.0,69.387755
114,769.0,3705.0,69.217687
115,774.0,3702.0,69.387755
116,774.0,3702.0,69.387755
117,769.0,3705.0,69.217687
118,774.0,3702.0,69.387755
119,769.0,3705.0,69.217687
120,774.0,3702.0,69.387755
121,774.0,3702.0,69.387755
122,769.0,3705.0,69.217687
123,774.0,3702.0,69.387755
124,767.0,3695.0,69.217687
125,767.0,3695.0,69.217687
126,772.0,3692.0,69.387755
127,767.0,3695.0,69.217687
128,772.0,3692.0,69.387755
129,767.0,3695.0,69.217687
130,767.0,3695.0,69.217687
131,772.0,3692.0,69.387755
132,767.0,3695.0,69.217687
133,767.0,3695.0,69.217687
134,767.0,3695.0,69.217687
135,767.0,3695.0,69.217687
136,772.0,3692.0,69.387755
137,767.0,3695.0,69.217687
138,767.0,3695.0,69.217687
139,772.0,3692.0,69.387755
140,767.0,3695.0,69.217687
141,767.0,3695.0,69.217687
142,767.0,3695.0,69.217687
143,767.0,3695.0,69.217687
144,767.0,3695.0,69.217687
145,767.0,3695.0,69.217687
146,767.0,3695.0,69.217687
147,767.0,3695.0,69.217687
148,767.0,3695.0,69.217687
149,767.0,3695.0,69.217687
150,767.0,3695.0,69.217687
151,767.0,3695.0,69.217687
152,767.0,3695.0,69.217687
153,767.0,3695.0,69.217687
154,767.0,3695.0,69.217687
155,767.0,3695.0,69.217687
156,767.0,3695.0,69.217687
157,765.0,3685.0,69.217687
158,765.0,3685.0,69.217687
159,765.0,3685.0,69.217687
160,765.0,3685.0,69.217687
161,770.0,3682.0,69.387755
162,765.0,3685.0,69.217687
163,765.0,3685.0,69.217687
164,765.0,3685.0,69.217687
165,765.0,3685.0,69.217687
166,765.0,3685.0,69.217687
167,765.0,3685.0,69.217687
168,765.0,3685.0,69.217687
