Periods,Interaction,Signals,Successful rate
1,2162.0,5994.0,67.346939
2,1512.0,5096.0,67.346939
3,1322.0,4818.0,67.176871
4,1176.0,4592.0,67.517007
5,1103.0,4479.0,67.346939
6,1101.0,4469.0,67.176871
7,1035.0,4363.0,67.346939
8,1033.0,4353.0,67.176871
9,985.0,4281.0,67.346939
10,990.0,4278.0,67.176871
11,958.0,4230.0,67.346939
12,936.0,4176.0,67.517007
13,931.0,4179.0,67.346939
14,931.0,4179.0,67.346939
15,922.0,4162.0,67.346939
16,913.0,4145.0,67.346939
17,893.0,4101.0,67.517007
18,902.0,4118.0,67.346939
19,895.0,4111.0,67.346939
20,882.0,4074.0,67.517007
21,880.0,4064.0,67.517007
22,873.0,4057.0,67.517007
23,873.0,4057.0,67.517007
24,882.0,4074.0,67.346939
25,898.0,4098.0,67.176871
26,898.0,4098.0,67.176871
27,896.0,4088.0,67.176871
28,862.0,4030.0,67.517007
29,855.0,4023.0,67.517007
30,864.0,4040.0,67.346939
31,864.0,4040.0,67.346939
32,864.0,4040.0,67.346939
33,885.0,4061.0,67.176871
34,878.0,4054.0,67.176871
35,855.0,4023.0,67.346939
36,855.0,4023.0,67.346939
37,876.0,4044.0,67.176871
38,853.0,4013.0,67.346939
39,853.0,4013.0,67.346939
40,853.0,4013.0,67.346939
41,853.0,4013.0,67.346939
42,840.0,3976.0,67.517007
43,833.0,3969.0,67.517007
44,833.0,3969.0,67.517007
45,833.0,3969.0,67.517007
46,867.0,4027.0,67.176871
47,831.0,3959.0,67.517007
48,831.0,3959.0,67.517007
49,865.0,4017.0,67.176871
50,831.0,3959.0,67.517007
51,831.0,3959.0,67.517007
52,865.0,4017.0,67.176871
53,831.0,3959.0,67.517007
54,831.0,3959.0,67.517007
55,842.0,3986.0,67.346939
56,872.0,4024.0,67.176871
57,865.0,4017.0,67.176871
58,833.0,3969.0,67.346939
59,865.0,4017.0,67.176871
60,833.0,3969.0,67.346939
61,865.0,4017.0,67.176871
62,865.0,4017.0,67.176871
63,856.0,4000.0,67.176871
64,865.0,4017.0,67.176871
65,863.0,4007.0,67.176871
66,863.0,4007.0,67.176871
67,863.0,4007.0,67.176871
68,863.0,4007.0,67.176871
69,863.0,4007.0,67.176871
70,863.0,4007.0,67.176871
71,863.0,4007.0,67.176871
72,863.0,4007.0,67.176871
73,863.0,4007.0,67.176871
74,863.0,4007.0,67.176871
75,863.0,4007.0,67.176871
76,863.0,4007.0,67.176871
77,863.0,4007.0,67.176871
78,861.0,3997.0,67.176871
79,861.0,3997.0,67.176871
80,861.0,3997.0,67.176871
81,861.0,3997.0,67.176871
82,861.0,3997.0,67.176871
83,861.0,3997.0,67.176871
84,861.0,3997.0,67.176871
85,854.0,3990.0,67.176871
86,854.0,3990.0,67.176871
87,854.0,3990.0,67.176871
88,854.0,3990.0,67.176871
89,854.0,3990.0,67.176871
90,854.0,3990.0,67.176871
91,854.0,3990.0,67.176871
92,854.0,3990.0,67.176871
93,854.0,3990.0,67.176871
94,852.0,3980.0,67.176871
95,852.0,3980.0,67.176871
96,852.0,3980.0,67.176871
97,852.0,3980.0,67.176871
98,852.0,3980.0,67.176871
99,852.0,3980.0,67.176871
100,852.0,3980.0,67.176871
101,852.0,3980.0,67.176871
102,852.0,3980.0,67.176871
103,852.0,3980.0,67.176871
104,852.0,3980.0,67.176871
105,852.0,3980.0,67.176871
106,852.0,3980.0,67.176871
107,852.0,3980.0,67.176871
108,852.0,3980.0,67.176871
109,852.0,3980.0,67.176871
110,852.0,3980.0,67.176871
111,852.0,3980.0,67.176871
112,852.0,3980.0,67.176871
113,852.0,3980.0,67.176871
114,852.0,3980.0,67.176871
115,850.0,3970.0,67.176871
116,850.0,3970.0,67.176871
117,850.0,3970.0,67.176871
118,850.0,3970.0,67.176871
119,850.0,3970.0,67.176871
120,850.0,3970.0,67.176871
121,850.0,3970.0,67.176871
122,850.0,3970.0,67.176871
123,850.0,3970.0,67.176871
124,850.0,3970.0,67.176871
125,850.0,3970.0,67.176871
126,850.0,3970.0,67.176871
127,850.0,3970.0,67.176871
128,850.0,3970.0,67.176871
129,850.0,3970.0,67.176871
130,850.0,3970.0,67.176871
131,850.0,3970.0,67.176871
132,850.0,3970.0,67.176871
133,850.0,3970.0,67.176871
134,850.0,3970.0,67.176871
135,850.0,3970.0,67.176871
136,850.0,3970.0,67.176871
137,850.0,3970.0,67.176871
138,850.0,3970.0,67.176871
139,850.0,3970.0,67.176871
140,850.0,3970.0,67.176871
141,850.0,3970.0,67.176871
142,850.0,3970.0,67.176871
143,839.0,3943.0,67.176871
144,848.0,3960.0,67.176871
145,848.0,3960.0,67.176871
146,848.0,3960.0,67.176871
147,848.0,3960.0,67.176871
148,848.0,3960.0,67.176871
149,848.0,3960.0,67.176871
150,848.0,3960.0,67.176871
151,848.0,3960.0,67.176871
152,848.0,3960.0,67.176871
153,848.0,3960.0,67.176871
154,848.0,3960.0,67.176871
155,848.0,3960.0,67.176871
156,848.0,3960.0,67.176871
157,848.0,3960.0,67.176871
158,848.0,3960.0,67.176871
159,848.0,3960.0,67.176871
160,848.0,3960.0,67.176871
161,848.0,3960.0,67.176871
162,848.0,3960.0,67.176871
163,848.0,3960.0,67.176871
164,848.0,3960.0,67.176871
165,848.0,3960.0,67.176871
166,848.0,3960.0,67.176871
167,848.0,3960.0,67.176871
168,848.0,3960.0,67.176871
